Term,TermMasterID,TermID_dnu,Term_dnu,Path,TableID,ThesXrefTypeID,ThesXrefTableID,TermID3,PrimaryCNID,TermMasterID5,TermMasterID6
Larvik,1558725,2041151,Larvik,"Larvik, Norway, Europe",108,20,346,2041151,1558725,1558725,1
Lagendalen,1558726,2041152,Lagendalen,"Lagendalen, Larvik, Norway, Europe",108,20,346,2041152,1558726,1558726,1
Bratthagen,1558727,2041153,Bratthagen,"Bratthagen, Lagendalen, Larvik, Norway, Europe",108,20,346,2041153,1558727,1558727,1
Schlaggenwald (Slavjov),1558730,2041156,Schlaggenwald (Slavjov),"Schlaggenwald (Slavjov), SLAVKOV, JIHO-MORAVSKY, Czech Republic, Europe",108,20,346,2041156,1558730,1558730,1
Round Mtn.,1558731,2041157,Round Mtn.,"Round Mtn., Nye Co., Nevada, USA, North America",108,20,346,2041157,1558731,1558731,1
Outlaw Mine,1558732,2041158,Outlaw Mine,"Outlaw Mine, Round Mtn., Nye Co., Nevada, USA, North America",108,20,346,2041158,1558732,1558732,1
Akhmatovskaya Mine,1558733,2041159,Akhmatovskaya Mine,"Akhmatovskaya Mine, Chelyabinskaya Oblast, Russia, Asia",108,20,346,2041159,1558733,1558733,1
"425 level C. block, Santa Nino Vein",1558735,2041161,"425 level C. block, Santa Nino Vein","425 level C. block, Santa Nino Vein, Proano Mine, Fresnillo, Municipio de Fresnillo, Zacatecas, Mexico, North America",108,20,346,2041161,1558735,1558735,1
Santa Ana Mine,1558738,2041164,Santa Ana Mine,"Santa Ana Mine, Trabuco Canyon, Trabuco Canyon [town], Santa Ana Mtns., Orange Co., California, USA, North America",108,20,346,2041164,1558738,1558738,1
Bull Canyon,1558739,2041165,Bull Canyon,"Bull Canyon, Uravan District, Montrose Co., Colorado, USA, North America",108,20,346,2041165,1558739,1558739,1
Peanut Mine,1558740,2041166,Peanut Mine,"Peanut Mine, Bull Canyon, Uravan District, Montrose Co., Colorado, USA, North America",108,20,346,2041166,1558740,1558740,1
Ljubija,1558741,2041167,Ljubija,"Ljubija, Bosnia & Herzegovina, Europe",108,20,346,2041167,1558741,1558741,1
Val Cavradi,1558742,2041168,Val Cavradi,"Val Cavradi, Switzerland, Europe",108,20,346,2041168,1558742,1558742,1
Copiapo,1558743,2041169,Copiapo,"Copiapo, Chile, South America",108,20,346,2041169,1558743,1558743,1
Pintada Mine,1558745,2041171,Pintada Mine,"Pintada Mine, NANTOKO, Copiapo, Chile, South America",108,20,346,2041171,1558745,1558745,1
Purisima,1558746,2041172,Purisima,"Purisima, Guanajuato, Municipio de Guanajuato, Guanajuato, Mexico, North America",108,20,346,2041172,1558746,1558746,1
Pulaski,1558747,2041173,Pulaski,"Pulaski, Virginia, USA, North America",108,20,346,2041173,1558747,1558747,1
Holston River Quarry,1558749,2041175,Holston River Quarry,"Holston River Quarry, Dublin, Pulaski, Virginia, USA, North America",108,20,346,2041175,1558749,1558749,1
Pohla,1558750,2041176,Pohla,"Pohla, Erzgebirge, Saxony, Germany, Europe",108,20,346,2041176,1558750,1558750,1
Val Darno,1558752,2041178,Val Darno,"Val Darno, LEVANE, Tuscany, Italy, Europe",108,20,346,2041178,1558752,1558752,1
Kashwitna Creek,1558754,2041180,Kashwitna Creek,"Kashwitna Creek, Palmer, Matanuska-Susitna Borough, Alaska, USA, North America",108,20,346,2041180,1558754,1558754,1
900' level,1558755,2041181,900' level,"900' level, Sterling Mine, Ogdensburg, Sussex Co., New Jersey, USA, North America",108,20,346,2041181,1558755,1558755,1
Sensa Mine,1558757,2041183,Sensa Mine,"Sensa Mine, CONSTANTINE, Italy, Europe",108,20,346,2041183,1558757,1558757,1
Sierra Mojada,1558758,2041184,Sierra Mojada,"Sierra Mojada, Coahuila, Mexico, North America",108,20,346,2041184,1558758,1558758,1
Veta Rica Mine,1558759,2041185,Veta Rica Mine,"Veta Rica Mine, Sierra Mojada, Coahuila, Mexico, North America",108,20,346,2041185,1558759,1558759,1
Copper Mine,1558761,2041187,Copper Mine,"Copper Mine, Bristol, Hartford Co., Connecticut, USA, North America",108,20,346,2041187,1558761,1558761,1
Somerville,1558762,2041188,Somerville,"Somerville, St. Lawrence Co., New York, USA, North America",108,20,346,2041188,1558762,1558762,1
Arkansas Talc Co. Mine (Warner Mine; Duke Warner Mine),1558765,2041191,Arkansas Talc Co. Mine (Warner Mine; Duke Warner Mine),"Arkansas Talc Co. Mine (Warner Mine; Duke Warner Mine), Salem, Saline Co., Arkansas, USA, North America",108,20,346,2041191,1558765,1558765,1
Copper Falls,1558767,2041193,Copper Falls,"Copper Falls, North Owl Creek, Keweenaw Co., Michigan, USA, North America",108,20,346,2041193,1558767,1558767,1
Hudson,1558768,2041194,Hudson,"Hudson, Middlesex Co., Massachusetts, USA, North America",108,20,346,2041194,1558768,1558768,1
Rt. 62 Roadcut,1558769,2041195,Rt. 62 Roadcut,"Rt. 62 Roadcut, Hudson, Middlesex Co., Massachusetts, USA, North America",108,20,346,2041195,1558769,1558769,1
Wilnelsgluck,1558771,2041197,Wilnelsgluck,"Wilnelsgluck, WURTTEMBERG, Baden-Württemberg, Germany, Europe",108,20,346,2041197,1558771,1558771,1
Chaux De Bergonne,1558772,2041198,Chaux De Bergonne,"Chaux De Bergonne, Puy de Dôme, Auvergne, France, Europe",108,20,346,2041198,1558772,1558772,1
Whitesmith Mine,1558776,2041202,Whitesmith Mine,"Whitesmith Mine, STRONTIAN, ARGYLL, Scotland, United Kingdom, Europe",108,20,346,2041202,1558776,1558776,1
Reichenbach,1558779,2041205,Reichenbach,"Reichenbach, ODENWALD, BORSTEIN, Hesse, Germany, Europe",108,20,346,2041205,1558779,1558779,1
Neviansk,1558780,2041206,Neviansk,"Neviansk, Sverdlovskaya oblast, Russia, Asia",108,20,346,2041206,1558780,1558780,1
Dernbach,1558782,2041208,Dernbach,"Dernbach, SCHONE AUSSICHT, Westerwald, Germany, Europe",108,20,346,2041208,1558782,1558782,1
Road Cut Near Cumberland,1558785,2041211,Road Cut Near Cumberland,"Road Cut Near Cumberland, Cumberland, Providence, Rhode Island, USA, North America",108,20,346,2041211,1558785,1558785,1
Little Enchanted Pond,1558787,2041213,Little Enchanted Pond,"Little Enchanted Pond, Somerset, Maine, USA, North America",108,20,346,2041213,1558787,1558787,1
Pierce Pond Quad.,1558788,2041214,Pierce Pond Quad.,"Pierce Pond Quad., Little Enchanted Pond, Somerset, Maine, USA, North America",108,20,346,2041214,1558788,1558788,1
Oberbergen,1558789,2041215,Oberbergen,"Oberbergen, Kaiserstuhl, Baden-Württemberg, Germany, Europe",108,20,346,2041215,1558789,1558789,1
Road Cut,1558790,2041216,Road Cut,"Road Cut, Newtown, Fairfield Co., Connecticut, USA, North America",108,20,346,2041216,1558790,1558790,1
Horenec,1558791,2041217,Horenec,"Horenec, Bilina, Bohemia, Czech Republic, Europe",108,20,346,2041217,1558791,1558791,1
Shamandrevo,1558795,2041221,Shamandrevo,"Shamandrevo, AMPANGABE, ANKARATE, Madagascar, Africa",108,20,346,2041221,1558795,1558795,1
Mercedes mine,1558799,2041225,Mercedes mine,"Mercedes mine, Huallanca district, Dos De Mayo, Huanaco, Peru, South America",108,20,346,2041225,1558799,1558799,1
Cabires,1558800,2041226,Cabires,"Cabires, Michoacan, Mexico, North America",108,20,346,2041226,1558800,1558800,1
Trevaunance Mine,1558801,2041227,Trevaunance Mine,"Trevaunance Mine, St. Agnes, Cornwall, England, United Kingdom, Europe",108,20,346,2041227,1558801,1558801,1
Bull Elk Beryl Crystal #1 Prospect,1558802,2041228,Bull Elk Beryl Crystal #1 Prospect,"Bull Elk Beryl Crystal #1 Prospect, Crystal Mtn. Pegmatite District, Larimer Co., Colorado, USA, North America",108,20,346,2041228,1558802,1558802,1
Dripping Springs,1558804,2041230,Dripping Springs,"Dripping Springs, Dripping Spring Mts, Gila Co., Arizona, USA, North America",108,20,346,2041230,1558804,1558804,1
Rio Marina Island,1558805,2041231,Rio Marina Island,"Rio Marina Island, Elba, Tuscany, Italy, Europe",108,20,346,2041231,1558805,1558805,1
Morenci Mine (Morenci pit; Phelps Dodge Morenci Mine; Morenci-Metcalf),1558806,2041232,Morenci Mine (Morenci pit; Phelps Dodge Morenci Mine; Morenci-Metcalf),"Morenci Mine (Morenci pit; Phelps Dodge Morenci Mine; Morenci-Metcalf), Morenci, Copper Mountain District (Clifton-Morenci District), Shannon Mts, Greenlee Co., Arizona, USA, North America",108,20,346,2041232,1558806,1558806,1
Uis Mine,1558807,2041233,Uis Mine,"Uis Mine, Uis, Erongo, Namibia, Africa",108,20,346,2041233,1558807,1558807,1
Dissentis,1558808,2041234,Dissentis,"Dissentis, Graubunden, Switzerland, Europe",108,20,346,2041234,1558808,1558808,1
Baccarato Mine,1558809,2041235,Baccarato Mine,"Baccarato Mine, Sicily, Italy, Europe",108,20,346,2041235,1558809,1558809,1
Weisser Hirsch Mine,1558810,2041236,Weisser Hirsch Mine,"Weisser Hirsch Mine, Schneeberg, Saxony, Germany, Europe",108,20,346,2041236,1558810,1558810,1
Neustadtel near Schneeberg,1558811,2041237,Neustadtel near Schneeberg,"Neustadtel near Schneeberg, Weisser Hirsch Mine, Schneeberg, Saxony, Germany, Europe",108,20,346,2041237,1558811,1558811,1
Stadtberg,1558812,2041238,Stadtberg,"Stadtberg, Westphalia, Germany, Europe",108,20,346,2041238,1558812,1558812,1
Lone Jack Quarry Near Glasgow,1558813,2041239,Lone Jack Quarry Near Glasgow,"Lone Jack Quarry Near Glasgow, Lone Jack Quarry, Glasgow, Rockbridge Co., Virginia, USA, North America",108,20,346,2041239,1558813,1558813,1
Eiala De Volcano,1558816,2041242,Eiala De Volcano,"Eiala De Volcano, VULGANELLO, MELINA, Italy, Europe",108,20,346,2041242,1558816,1558816,1
San Rafael Mine,1558819,2041245,San Rafael Mine,"San Rafael Mine, Puno, Puno, Peru, South America",108,20,346,2041245,1558819,1558819,1
"7 slices below 800 Level, 910 Pillar",1558820,2041246,"7 slices below 800 Level, 910 Pillar","7 slices below 800 Level, 910 Pillar, Franklin, Sussex Co., New Jersey, USA, North America",108,20,346,2041246,1558820,1558820,1
Krasna Hora,1558821,2041247,Krasna Hora,"Krasna Hora, Bohemia, Czech Republic, Europe",108,20,346,2041247,1558821,1558821,1
Warrum Bungle Range,1558822,2041248,Warrum Bungle Range,"Warrum Bungle Range, New South Wales, Australia, Oceana",108,20,346,2041248,1558822,1558822,1
La Corne Mine,1558824,2041250,La Corne Mine,"La Corne Mine, La Corne, ABITIBI, Quebec, Canada, North America",108,20,346,2041250,1558824,1558824,1
1979 Pocket,1558825,2041251,1979 Pocket,"1979 Pocket, Mt. Mica, Paris, Oxford Co., Maine, USA, North America",108,20,346,2041251,1558825,1558825,1
Bastra,1558826,2041252,Bastra,"Bastra, Zzap",108,20,346,2041252,1558826,1558826,1
Big Creek,1558827,2041253,Big Creek,"Big Creek, Rush Creek deposit, Big Creek-Rush Creek District, Fresno Co., California, USA, North America",108,20,346,2041253,1558827,1558827,1
Esquire No. 7 Claim,1558828,2041254,Esquire No. 7 Claim,"Esquire No. 7 Claim, Big Creek, Rush Creek deposit, Big Creek-Rush Creek District, Fresno Co., California, USA, North America",108,20,346,2041254,1558828,1558828,1
Tea Tree Gully,1558829,2041255,Tea Tree Gully,"Tea Tree Gully, South Australia, Australia, Oceana",108,20,346,2041255,1558829,1558829,1
Wetherbee Mine,1558830,2041256,Wetherbee Mine,"Wetherbee Mine, Wilmot, Merrimack, New Hampshire, USA, North America",108,20,346,2041256,1558830,1558830,1
Cheverie,1558831,2041257,Cheverie,"Cheverie, HANTS Co., Nova Scotia, Canada, North America",108,20,346,2041257,1558831,1558831,1
Bosing,1558832,2041258,Bosing,"Bosing, Slovakia, Europe",108,20,346,2041258,1558832,1558832,1
Gravenoire,1558833,2041259,Gravenoire,"Gravenoire, Puy de Dôme, Auvergne, France, Europe",108,20,346,2041259,1558833,1558833,1
El Soccoro Mine,1558835,2041261,El Soccoro Mine,"El Soccoro Mine, Rancho Viego, Municipio de Ensenada, Baja California, Mexico, North America",108,20,346,2041261,1558835,1558835,1
Monte Romero Mine,1558836,2041262,Monte Romero Mine,"Monte Romero Mine, Cueva De La Mora, Huelva, Andalucia, Spain, Europe",108,20,346,2041262,1558836,1558836,1
Etoille Mine,1558838,2041264,Etoille Mine,"Etoille Mine, ELIZABETHVILLE, Katanga, DRC, Africa",108,20,346,2041264,1558838,1558838,1
Rockville Quarry,1558840,2041266,Rockville Quarry,"Rockville Quarry, Hunting Hill Quarry, Rockville, Montgomery Co., Maryland, USA, North America",108,20,346,2041266,1558840,1558840,1
Mt. Etna,1558841,2041267,Mt. Etna,"Mt. Etna, Catania, Sicily, Italy, Europe",108,20,346,2041267,1558841,1558841,1
Cedar City,1558842,2041268,Cedar City,"Cedar City, Iron Co., Utah, USA, North America",108,20,346,2041268,1558842,1558842,1
Columbia Mine,1558843,2041269,Columbia Mine,"Columbia Mine, Cedar City, Iron Co., Utah, USA, North America",108,20,346,2041269,1558843,1558843,1
Faraday Mine,1558844,2041270,Faraday Mine,"Faraday Mine, Bancroft, Hastings, Ontario, Canada, North America",108,20,346,2041270,1558844,1558844,1
Commonwealth Mine,1558845,2041271,Commonwealth Mine,"Commonwealth Mine, Washoe Co., Nevada, USA, North America",108,20,346,2041271,1558845,1558845,1
Sierra Ancha District,1558846,2041272,Sierra Ancha District,"Sierra Ancha District, Sierra Ancha Mts, Gila Co., Arizona, USA, North America",108,20,346,2041272,1558846,1558846,1
Cornersville locality,1558849,2041275,Cornersville locality,"Cornersville locality, Cornersville, Marshall, Tennessee, USA, North America",108,20,346,2041275,1558849,1558849,1
Fish Creek Range,1558850,2041276,Fish Creek Range,"Fish Creek Range, Eureka Dist., Eureka Co., Nevada, USA, North America",108,20,346,2041276,1558850,1558850,1
Oradna (Oradea?),1558851,2041277,Oradna (Oradea?),"Oradna (Oradea?), Hungary, Europe",108,20,346,2041277,1558851,1558851,1
Elizabeth R. Mine,1558854,2041280,Elizabeth R. Mine,"Elizabeth R. Mine, Chief Mtn., Pala, Pala District, San Diego Co., California, USA, North America",108,20,346,2041280,1558854,1558854,1
"Fredericktown mining district,  Mine la Motte is a mine, not a town",1558855,2041281,"Fredericktown mining district,  Mine la Motte is a mine, not a town","Fredericktown mining district,  Mine la Motte is a mine, not a town, Katherine Mine, Mine La Motte, Madison Co., Missouri, USA, North America",108,20,346,2041281,1558855,1558855,1
La Rosa Mine,1558857,2041283,La Rosa Mine,"La Rosa Mine, Municipio de San Francisco Telixtlahuaca, Oaxaca, Mexico, North America",108,20,346,2041283,1558857,1558857,1
Coradon Mine,1558858,2041284,Coradon Mine,"Coradon Mine, Cornwall, England, United Kingdom, Europe",108,20,346,2041284,1558858,1558858,1
John Reed Mine,1558859,2041285,John Reed Mine,"John Reed Mine, Alicante, Leadville District, Lake Co., Colorado, USA, North America",108,20,346,2041285,1558859,1558859,1
San Pedro Y San Paulo Mine,1558862,2041288,San Pedro Y San Paulo Mine,"San Pedro Y San Paulo Mine, Guanajuato, Municipio de Guanajuato, Guanajuato, Mexico, North America",108,20,346,2041288,1558862,1558862,1
Oruro Mine,1558865,2041291,Oruro Mine,"Oruro Mine, Cuchillo Parado, Coyame Municipio, Chihuahua, Mexico, North America",108,20,346,2041291,1558865,1558865,1
Wiluna,1558866,2041292,Wiluna,"Wiluna, Western Australia, Australia, Oceana",108,20,346,2041292,1558866,1558866,1
Jundee Mine,1558867,2041293,Jundee Mine,"Jundee Mine, Wiluna, Western Australia, Australia, Oceana",108,20,346,2041293,1558867,1558867,1
Masokani Hill,1558868,2041294,Masokani Hill,"Masokani Hill, Sultan Hamud, Machakos District, Eastern, Kenya, Africa",108,20,346,2041294,1558868,1558868,1
Carson Desert,1558872,2041298,Carson Desert,"Carson Desert, Ragtown, Churchill Count, Nevada, USA, North America",108,20,346,2041298,1558872,1558872,1
near Marathon,1558875,2041301,near Marathon,"near Marathon, Geco Mine, Gemmell, Thunder Bay District, Ontario, Canada, North America",108,20,346,2041301,1558875,1558875,1
Cove Creek Bridge and The Branch,1558876,2041302,Cove Creek Bridge and The Branch,"Cove Creek Bridge and The Branch, Magnet Cove, Hot Spring Co., Arkansas, USA, North America",108,20,346,2041302,1558876,1558876,1
Route I-84,1558878,2041304,Route I-84,"Route I-84, Hartford, Hartford Co., Connecticut, USA, North America",108,20,346,2041304,1558878,1558878,1
Ruby Creek Prospect,1558881,2041307,Ruby Creek Prospect,"Ruby Creek Prospect, Shungnak District, Northwest Arctic Borough, Alaska, USA, North America",108,20,346,2041307,1558881,1558881,1
Hersdorf Mine,1558882,2041308,Hersdorf Mine,"Hersdorf Mine, Westphalia, Germany, Europe",108,20,346,2041308,1558882,1558882,1
Porto Cadello,1558883,2041309,Porto Cadello,"Porto Cadello, Cuba, North America",108,20,346,2041309,1558883,1558883,1
Herringen,1558884,2041310,Herringen,"Herringen, Hesse, Germany, Europe",108,20,346,2041310,1558884,1558884,1
Gabe Gottes Mine,1558887,2041313,Gabe Gottes Mine,"Gabe Gottes Mine, RAUENTHAL, SAINTE MARIE-AU-MAN, Alsace, France, Europe",108,20,346,2041313,1558887,1558887,1
Deustadtel,1558888,2041314,Deustadtel,"Deustadtel, Schneeberg, Saxony, Germany, Europe",108,20,346,2041314,1558888,1558888,1
San Carlos  Mine,1558889,2041315,San Carlos  Mine,"San Carlos  Mine, Guanajuato, Mexico, North America",108,20,346,2041315,1558889,1558889,1
Andra Almeria,1558890,2041316,Andra Almeria,"Andra Almeria, Andalucia, Spain, Europe",108,20,346,2041316,1558890,1558890,1
Rybnicek Mine,1558891,2041317,Rybnicek Mine,"Rybnicek Mine, Pezinok, Slovakia, Europe",108,20,346,2041317,1558891,1558891,1
"Tryphene lode, 5th level",1558894,2041320,"Tryphene lode, 5th level","Tryphene lode, 5th level, Wheal Pendarves, Camborne, Cornwall, England, United Kingdom, Europe",108,20,346,2041320,1558894,1558894,1
Drygill,1558895,2041321,Drygill,"Drygill, Cumberland, England, United Kingdom, Europe",108,20,346,2041321,1558895,1558895,1
San Martin,1558898,2041324,San Martin,"San Martin, VEGA, AVILA, Spain, Europe",108,20,346,2041324,1558898,1558898,1
Friedrich Mine,1558900,2041326,Friedrich Mine,"Friedrich Mine, WISSEN, Westphalia, Germany, Europe",108,20,346,2041326,1558900,1558900,1
Avant,1558901,2041327,Avant,"Avant, Garland Co., Arkansas, USA, North America",108,20,346,2041327,1558901,1558901,1
Dug Hill,1558902,2041328,Dug Hill,"Dug Hill, Avant, Garland Co., Arkansas, USA, North America",108,20,346,2041328,1558902,1558902,1
Schottenauer Graben-heft Bei Huttenberg,1558904,2041330,Schottenauer Graben-heft Bei Huttenberg,"Schottenauer Graben-heft Bei Huttenberg, Schottenauer Graben-heft, Huttenberg, Carinthia, Austria, Europe",108,20,346,2041330,1558904,1558904,1
Little Three Mine,1558905,2041331,Little Three Mine,"Little Three Mine, Ramona, Ramona District, San Diego Co., California, USA, North America",108,20,346,2041331,1558905,1558905,1
Bigrigg Mine,1558906,2041332,Bigrigg Mine,"Bigrigg Mine, Bigrigg, Cumbria, England, United Kingdom, Europe",108,20,346,2041332,1558906,1558906,1
Gr. Weckesheim,1558908,2041334,Gr. Weckesheim,"Gr. Weckesheim, Wetterau, Zzap",108,20,346,2041334,1558908,1558908,1
Malmberget Mine,1558910,2041336,Malmberget Mine,"Malmberget Mine, Malmberget, Norrbotten, Sweden, Europe",108,20,346,2041336,1558910,1558910,1
Czickow,1558911,2041337,Czickow,"Czickow, Bohemia, Czech Republic, Europe",108,20,346,2041337,1558911,1558911,1
South Mtn. Mine,1558912,2041338,South Mtn. Mine,"South Mtn. Mine, Owyhee Co., Idaho, USA, North America",108,20,346,2041338,1558912,1558912,1
Jalisco,1558913,2041339,Jalisco,"Jalisco, Mexico, North America",108,20,346,2041339,1558913,1558913,1
Mololoa Mine,1558916,2041342,Mololoa Mine,"Mololoa Mine, Hostotipaquillo, Municipio de Hostotipaquillo, Jalisco, Mexico, North America",108,20,346,2041342,1558916,1558916,1
Kiruna,1558917,2041343,Kiruna,"Kiruna, Lapland, Sweden, Europe",108,20,346,2041343,1558917,1558917,1
Kiirunavaara Mine,1558918,2041344,Kiirunavaara Mine,"Kiirunavaara Mine, Kiruna, Lapland, Sweden, Europe",108,20,346,2041344,1558918,1558918,1
Schmiedebol,1558919,2041345,Schmiedebol,"Schmiedebol, Baden-Württemberg, Germany, Europe",108,20,346,2041345,1558919,1558919,1
Elias Mine,1558920,2041346,Elias Mine,"Elias Mine, Joachimstal, Bohemia, Czech Republic, Europe",108,20,346,2041346,1558920,1558920,1
The Quiraing,1558922,2041348,The Quiraing,"The Quiraing, ISLE OF SKYE, Scotland, United Kingdom, Europe",108,20,346,2041348,1558922,1558922,1
Eichelberg Mine,1558924,2041350,Eichelberg Mine,"Eichelberg Mine, SULZBACH, Bavaria, Germany, Europe",108,20,346,2041350,1558924,1558924,1
El Morano Mine,1558926,2041352,El Morano Mine,"El Morano Mine, ALLIGATOR RIVER, Northern Territory, Australia, Oceana",108,20,346,2041352,1558926,1558926,1
McLean Reservoir,1558927,2041353,McLean Reservoir,"McLean Reservoir, Holyoke, Hampden Co., Massachusetts, USA, North America",108,20,346,2041353,1558927,1558927,1
La Trinidad Mine,1558928,2041354,La Trinidad Mine,"La Trinidad Mine, San Luis Potosi, Mexico, North America",108,20,346,2041354,1558928,1558928,1
Segen Mine,1558929,2041355,Segen Mine,"Segen Mine, Wiesloch, Baden-Württemberg, Germany, Europe",108,20,346,2041355,1558929,1558929,1
"Anegene Kokofu Naka, Shimane",1558933,2041359,"Anegene Kokofu Naka, Shimane","Anegene Kokofu Naka, Shimane, Anegene, Kokofu Naka, Shimane, Japan, Asia",108,20,346,2041359,1558933,1558933,1
Mtn. Lake Mine,1558934,2041360,Mtn. Lake Mine,"Mtn. Lake Mine, Salt Lake City, Utah, USA, North America",108,20,346,2041360,1558934,1558934,1
Black Cloud Mine,1558935,2041361,Black Cloud Mine,"Black Cloud Mine, Leadville District, Lake Co., Colorado, USA, North America, UNFINDABLE - CHECK PAPERS, Legacy",108,20,346,2041361,1558935,1558935,1
320 stope on 1250 level; Iowa Gulch,1558936,2041362,320 stope on 1250 level; Iowa Gulch,"320 stope on 1250 level; Iowa Gulch, Black Cloud Mine, Leadville District, Lake Co., Colorado, USA, North America, UNFINDABLE - CHECK PAPERS, Legacy",108,20,346,2041362,1558936,1558936,1
Ovedo,1558937,2041363,Ovedo,"Ovedo, Spain, Europe",108,20,346,2041363,1558937,1558937,1
Braden mine,1558938,2041364,Braden mine,"Braden mine, El Teniente Mine, Sewell, O' Higgins, Chile, South America",108,20,346,2041364,1558938,1558938,1
Ettringen,1558940,2041366,Ettringen,"Ettringen, MAYEN, Germany, Europe",108,20,346,2041366,1558940,1558940,1
Pit C,1558943,2041369,Pit C,"Pit C, Songo Pond Quarry, Albany, Oxford Co., Maine, USA, North America",108,20,346,2041369,1558943,1558943,1
Bancroft,1558944,2041370,Bancroft,"Bancroft, Ontario, Canada, North America",108,20,346,2041370,1558944,1558944,1
Faraday Mine,1558945,2041371,Faraday Mine,"Faraday Mine, Bancroft, Ontario, Canada, North America",108,20,346,2041371,1558945,1558945,1
Dump Behind Hospital,1558946,2041372,Dump Behind Hospital,"Dump Behind Hospital, Mineville, Essex Co., New York, USA, North America",108,20,346,2041372,1558946,1558946,1
north of west end of Kamloops Lake,1558949,2041375,north of west end of Kamloops Lake,"north of west end of Kamloops Lake, Cherry Creek, Savona, British Columbia, Canada, North America",108,20,346,2041375,1558949,1558949,1
Eastern Siberia,1558950,2041376,Eastern Siberia,"Eastern Siberia, Russia, Asia",108,20,346,2041376,1558950,1558950,1
Aldan Deposit,1558952,2041378,Aldan Deposit,"Aldan Deposit, Aldan, Eastern Siberia, Russia, Asia",108,20,346,2041378,1558952,1558952,1
Mariposa Estate,1558953,2041379,Mariposa Estate,"Mariposa Estate, Mariposa, Bagby-Mariposa-Mount Bullion-Whitlock District, Mother Lode Belt, Mariposa Co., California, USA, North America",108,20,346,2041379,1558953,1558953,1
Geyer Near Brixlek,1558955,2041381,Geyer Near Brixlek,"Geyer Near Brixlek, BRIXLEK, Austria, Europe",108,20,346,2041381,1558955,1558955,1
Strontian,1558956,2041382,Strontian,"Strontian, Scotland, United Kingdom, Europe",108,20,346,2041382,1558956,1558956,1
Orange River,1558957,2041383,Orange River,"Orange River, Karas, Namibia, Africa",108,20,346,2041383,1558957,1558957,1
Ramans Drif,1558958,2041384,Ramans Drif,"Ramans Drif, Orange River, Karas, Namibia, Africa",108,20,346,2041384,1558958,1558958,1
Shigar,1558959,2041385,Shigar,"Shigar, Baltistan, Northern Areas, Pakistan, Asia",108,20,346,2041385,1558959,1558959,1
Goodall Quarry,1558960,2041386,Goodall Quarry,"Goodall Quarry, Sanford, York, Maine, USA, North America",108,20,346,2041386,1558960,1558960,1
Maguarachic,1558961,2041387,Maguarachic,"Maguarachic, Chihuahua, Mexico, North America",108,20,346,2041387,1558961,1558961,1
Franklin,1558962,2041388,Franklin,"Franklin, Merrimack, New Hampshire, USA, North America",108,20,346,2041388,1558962,1558962,1
"Georgia Coating Clay Co. pit, SW of Dry Branch, 8.8 mi SE of Macon RR station",1558966,2041392,"Georgia Coating Clay Co. pit, SW of Dry Branch, 8.8 mi SE of Macon RR station","Georgia Coating Clay Co. pit, SW of Dry Branch, 8.8 mi SE of Macon RR station, O' Neal Pit, Macon, Bibb, Georgia, USA, North America",108,20,346,2041392,1558966,1558966,1
Larder Lake,1558968,2041394,Larder Lake,"Larder Lake, Chesterfield Claim, Ontario, Canada, North America",108,20,346,2041394,1558968,1558968,1
Thompson Shaft,1558969,2041395,Thompson Shaft,"Thompson Shaft, Hydroboracite area, Thompson Shaft, Borax Open Pit, Ryan, Furnace Creek District, Inyo Co., California, USA, North America",108,20,346,2041395,1558969,1558969,1
Tsungaja,1558971,2041397,Tsungaja,"Tsungaja, Tsungaja, Transylvania, Romania, Europe",108,20,346,2041397,1558971,1558971,1
23rd level; Lake Superior,1558973,2041399,23rd level; Lake Superior,"23rd level; Lake Superior, La Salle Mine, Osceola, Michigan, USA, North America",108,20,346,2041399,1558973,1558973,1
Malakialina,1558974,2041400,Malakialina,"Malakialina, Antananarivo, Madagascar, Africa",108,20,346,2041400,1558974,1558974,1
"Ambodibonara,",1558975,2041401,"Ambodibonara,","Ambodibonara,, Malakialina, Antananarivo, Madagascar, Africa",108,20,346,2041401,1558975,1558975,1
Repcice,1558976,2041402,Repcice,"Repcice, Bohemia, Czech Republic, Europe",108,20,346,2041402,1558976,1558976,1
Mt. Vorondolo,1558980,2041406,Mt. Vorondolo,"Mt. Vorondolo, Madagascar, Africa",108,20,346,2041406,1558980,1558980,1
Mt. Erebus,1558983,2041409,Mt. Erebus,"Mt. Erebus, Ross Island, Victoria Land, East Antarctica, Antarctica",108,20,346,2041409,1558983,1558983,1
Betsiboka,1558984,2041410,Betsiboka,"Betsiboka, Madagascar, Africa",108,20,346,2041410,1558984,1558984,1
Racine Co.,1558985,2041411,Racine Co.,"Racine Co., Wisconsin, USA, North America",108,20,346,2041411,1558985,1558985,1
Racine,1558986,2041412,Racine,"Racine, Racine Co., Wisconsin, USA, North America",108,20,346,2041412,1558986,1558986,1
Ive's Quarry,1558987,2041413,Ive's Quarry,"Ive's Quarry, Racine, Racine Co., Wisconsin, USA, North America",108,20,346,2041413,1558987,1558987,1
Pohjois-Karjala,1558988,2041414,Pohjois-Karjala,"Pohjois-Karjala, Outokumpu Mine, Outokumpu, North Karelia, Eastern Finland, Finland, Europe",108,20,346,2041414,1558988,1558988,1
