Locality,objectnum,Length
"Mobin Gold deposit, SW Hunan Province, China",2020.7.3009,11
"Molina, Aragon, Spain",2020.7.2882,11
"M'Sesa Mine, Kambove, Katanga, Congo",2020.7.2853,11
"350 meter level, Mt. Flora, Lovozero massif, Murmansk, Kola Penin, Russia",2020.7.2352,11
"Mt. Kara, Enga Province, Papua, New Guinea",2020.7.2348,11
"Mt. Malosa, Zomba Dist., Malawi",2020.7.2925,11
"Mt. McClure Mine, Leinster, Western Australia",2020.7.2391,11
"Mubombe Mine, Katanga, Congo DR",2020.7.3203,11
"Mulange massif, Malawi",2020.7.2409,11
"Muli County, Lianashan Prefecture, Sichuan Province, China",2020.7.3054,11
"N.E. of Beijing, Hebei Province, China",2020.7.3147,11
"Namib Desert, Namibia",2020.7.2380,11
"N'chwaning mine, Kuruman Kalahara Mn. Area, Cape Province, South West Africa",2020.7.2331,11
"near Xingyi, between border of Guangxi Prov. And Guizhou Prov., China",2020.7.3154,11
"Neudorf, Harz Mts., Germany",2020.7.2873,11
New Mexico,2020.7.2876,11
"Niedersachswerfen, Nordhausen, Germany",2020.7.2374,11
"Nikolaevskiy Mine, Dalnegorsk, Primorskiy Kray, Eastern Russia",2020.7.2944,11
"Nord Nickolay-Shor Mt., Polar Urals, Russia",2020.7.2362,11
"Nordmark, Sweden",2020.7.2931,11
"Oamaping/Zhangjiakou, Hebei Province, China",2020.7.2989,11
"Oktober Shaft, Talnakh, Noril'sk, Russia",2020.7.2401,11
"Outokumpu, Finland",2020.7.2893,11
"Pabellon de Pica, Chanabaya, Tarapaca Region, Chile",2020.7.2478,11
"Palomo & Julcani Mine, Huanchucolpa District, Hauncavelica Dept. Peru",2020.7.2756,11
"Pimienta Mine,near Diego de Almagro, Chile",2020.7.2568,11
"Pingtouning Mine, Guangdong Prov., China  ",2020.7.3160,11
"Pribram, Bohemia, Czechslovakia",2020.7.2367,11
"Pucarrajo, Ancash, Peru",2020.7.2682,11
"Qicaishi Mine, Tienshan Co., Huangshi Pref., Hubei Prov., China",2020.7.2910,11
"Qinjiang Mine, Jiangxi Prov., China",2020.7.2936,11
"Quebrada, Carbonera, Acari, Dept. of Arequipa, Peru",2020.7.2677,11
"Quebrada Blanca Mine, Collahuasi Dist., Iquique Prov., Tarapaca, Chile",2020.7.2433,11
"Quingshan Guangxi Prov., China",2020.7.2990,11
"Rais Mine, Polar Urals, Siberia, Russia",2020.7.2387,11
"Rajos de California, Zapallar District, Copiapo, Atacama, Chile",2020.7.2429,11
"Rapid Creek, Yukon Terr., Canada",2020.7.2827,11
"Rehoboth, south of Windhoek, Namibia",2020.7.2320,11
"Remolinas Mine, Finca de Maray, near Tierra Amarilla, Chile",2020.7.2500,11
"Resgurado # 3 Mine, Puquios Mining District, Carrera Pinto, Chile",2020.7.2495,11
"Riemvasmaak, Kakamas District, Northern Cape Province, South Africa",2020.7.2909,11
"Rio Seco, Quebrada de Cordoba, Ica, Peru",2020.7.2699,11
"Rock Island Dam, Columbia River, Washington",2020.7.2875,11
"Rucheng, Hunan Province, China",2020.7.3101,11
"Sage Creek, Sweetgrass Hills, 10 mi S.E. of Whitlash, Washington",2020.7.2395,11
"San Bartolo Mine, Charcas, San Luis Potosi, Mexico",2020.7.2325,11
"San Carlos Mine, Guanajuato, Mexico",2020.7.2309,11
"San Genaro Mine, Huancavelica Department, Castrovirreyna District, Peru",2020.7.2703,11
"San Juan Mine, Salado, Chile",2020.7.2502,11
"Sao Miguel de Piracicaba, Minas Gerais, Brazil",2020.7.2892,11
"Schwatz, Tyrol, Austria",2020.7.2379,11
"Seimchan village, Magadan area, Russia.  ",2020.7.2843,11
"Shandong Province, China",2020.7.2942,11
"Shangrao, Jiangxi Prov., China",2020.7.2930,11
"Shanua Pu Mine, Xinag Hua Ling District, Chenzhou, Hunan Prov., China",2020.7.2922,11
"Shaoguan, Guangdong Province, China",2020.7.3053,11
"Soga, Iquique, Region 1, Atacama Desert, Chile",2020.7.2566,11
"Soghan, near Jiroft, Karman Province, Iran",2020.7.2359,11
"Sokolovskiy Mine, Rudniy, Kazakhstan",2020.7.2408,11
"Sombrerete, Zacatecas, Mexico",2020.7.2951,11
"South Rasumssen Ridge Mine, Caribou Co., Idaho",2020.7.2836,11
"Spruse # 17 Claim, Goldmyer Hot Springs, King Co., Washington",2020.7.2934,11
"St. Andreasberg, Harz Mountains, Germany",2020.7.2963,11
"Taimyr Peninsula, Siberia, Russia",2020.7.2386,11
"Taiyuan, Shanxi Province, China",2020.7.3105,11
"Taltal, Chile",2020.7.2539,11
"Tamboras, Mundo Nuevo, Huamachuco, Sanchez Carrion, La Libertad, Peru",2020.7.2822,11
"Tan Ping Mine, Guang Shi Province, China",2020.7.3078,11
"Taouz, Morocco",2020.7.2896,11
"Thana, India",2020.7.3221,11
"Tieshan, N. of Daye, Hubei Province, China",2020.7.3133,11
"Tip Top Mine, Custer County, South Dakota",2020.7.2838,11
"Ton Lu Shan Mine, Hubei Prov., China",2020.7.2976,11
"Tongbei, 30 km from Yunxiau, Fujian Province, China",2020.7.2802,11
"Torrecillas Mine, Salar Grande, Iquique, Atacama desert, Region 1, Chile",2020.7.2470,11
"Touissit, Morocco",2020.7.2895,11
"Toyee, Waziristan, N.W Frontier, Pakistan",2020.7.2885,11
"Transjordan Plateau, about 60 km SE of Amman City, Jordan",2020.7.2837,11
"Tremadoc, Gwynedd, Wales, United Kingdom",2020.7.2814,11
"Tucumanca Mine, inca de Oro, Diego de Almagro, Comuna, Chanral Prov, Chile",2020.7.2498,11
"Twin Creeks Mine, Humboldt County, Nevada",2020.7.2410,11
"Udo Mine, Hikawa gun, Igumo, Japan",2020.7.2912,11
"Uitsab, near Grootfontein, Namibia",2020.7.3219,11
"Uludag Mt., 9 miles S.E. of Bursa, Turkey",2020.7.2948,11
unlabeled,2020.7.3083,11
"Urucum Mine, Galileia, Minas Gerais, Brazil",2020.7.2376,11
"valley near Mingora, Pakistan",2020.7.3216,11
"Vieja Mine, near Portrerillos, Chile",2020.7.2463,11
"Villabona, Asturias, Spain",2020.7.2947,11
"Vishnovogorsk (Cherry Mt.), Vein #5, Vishnovogorsk, Chelyabinsk, Urals, Russia",2020.7.2423,11
"Volcan Payun Matru, due West fo Malarque, Mendoza Province, Argentina",2020.7.2886,11
"Weifang, Shandong Province, China",2020.7.3169,11
"Well # 2, Monin Akhada, Rahuri, Maharashtra, India",2020.7.2926,11
"Whitehorse Copper Mine, Whitehorse, Yukon Terr., Canada",2020.7.2937,11
"Wolfsberg, Harz Mts., Germany",2020.7.2398,11
"Wood's Chrome Mine, Texas, Lancaster Co., Pennsylvania",2020.7.2407,11
"Wudong Mine, Liubao, Guangxi Prov.,  China",2020.7.3036,11
"Xichang Mine, Sichuan Province, China",2020.7.2801,11
"Xiefang, Jiangxi Province, China",2020.7.2908,11
"Xinyi, Guizhou Prov., China",2020.7.2993,11
"Yakutia, Siberia, Russia",2020.7.2317,11
"Yangchun, Guangdong Province, China",2020.7.3136,11
"Yingyang, Henan Province, China",2020.7.3149,11
"Yinnietharra, Western Australia",2020.7.2868,11
"Yuan River,near Huaihua City, Hunan Province, China",2020.7.2984,11
"Yunghangping, near Tongren, Guizhou Prov., China",2020.7.2928,11
"Zabytaya, near Dalnegorsk, Eastern Russia",2020.7.2382,11
"Zippergate, Zaire",2020.7.2426,11
,,0
