Locality,objectnum,Length
"Maria Catalina Mine, Pampa Larga Mining Dist., Tierra Amarilla, Chile","2020.7.2477, 2020.7.2491",24
"Meigu Quartz quarry, Liangshan  Prefecture, Sichuan Province, China","2020.7.3005, 2020.7.3006",24
"Mibladen, near Midelt, Morocco","2020.7.2894, 2020.7.2938",24
"near Hezhou, Guangxi Province, China","2020.7.3022, 2020.7.3023",24
"near Kharan, Baluchistan, Pakistan","2020.7.2869, 2020.7.2929",24
"Niccioleta Mine, Massa Marittima, Grosseto Prov., Tuscany, Italy ","2020.7.2933, 2020.7.2961",24
"Panzhihua, Sichuan Province, China","2020.7.3176, 2020.7.3195",24
"Perseverancia Mine, Guanaco Mining District, 2nd Region, Antofagasta, Chile","2020.7.2663, 2020.7.2664",24
"Phalabora Mine, Transvaal, South Africa","2020.7.2392, 2020.7.2393",24
"Racracancha Mine, Cerro de Pasco, Peru","2020.7.2807, 2020.7.2685",24
"Rosalia Mine, inca de Oro, Chile","2020.7.2516, 2020.7.2535",24
"San Jose Mine, Oruro, Bolivia","2020.7.2347, 2020.7.2959",24
"Sanjiang, Lianzhou Co., Guangdong Province, China","2020.7.3013, 2020.7.3071",24
"Viente Cinco vein, Magallanes, 88 km East of Antofagasta, Region II, Chile","2020.7.2533, 2020.7.2650",24
"Viva Chile Mine, Carrera Pinto, Chile","2020.7.2518, 2020.7.2537",24
"White Dam area, Harts Range, N. Territory, Australia","2020.7.2840, 2020.7.2841",24
"Xianghuapu Mine, Linwu, Hunan Province, China  ","2020.7.3093, 2020.7.3134",24
"Chapacase mine, near Maria Elena, Sierra Cerillos Mining Dist., Tocopilla, Chile",2020.7.2450,11
"Chuquicamata, Antofagasta, Chile",2020.7.2640,11
"Star of the Congo Mine, Lubumbashi, Congo",2020.7.3220,11
"Xi Kuangshan Mine, L eng Shui Jiang, Bhaoyang Co., Hunan Province, China ",2020.7.3038,11
"Xikuangshan, Lengshuijiang, Shaoyang, Hunan Prov., China",2020.7.2964,11
"Xikuangshan Mine, Hunan Province, China  ",2020.7.3059,11
"Xikuangshan Mine, Lengshuijiang City, Hunan Province, China",2020.7.3020,11
"Chenmenshan Mine, Juijiang, Jiangxi Prov., China  ",2020.7.3129,11
"Huaron, Cerro de Pasco, Peru",2020.7.2718,11
"Huaron Mine, San Jose de Huayllay Dist., Cerro de Pasco, Alcides Carrion Prov., Pasco Dept., Peru",2020.7.2686,11
"Jinkouhi, Sichuan Prov., China",2020.7.2907,11
"Jinlong Mine, Guangdong Prov., China   ",2020.7.3048,11
"Mundo Nuevo, La Libertad, Peru",2020.7.2842,11
"Mundo Nuevo, near Pasto Bueno, La Libertad, Peru",2020.7.2722,11
"Mundo Nuevo, Peru",2020.7.2679,11
"Xuebaoding,  Bichuan Prov., China",2020.7.2998,11
